job_id,title,publication_date,company,company_logo,category,location,salary,tags,job_type,description,url
1956455,iOS Developer,2026-02-09T21:15:55,nooro,https://remotive.com/job/1956455/logo,Software Development,USA,$60k-$130k (depending on experience),"api, backend, git, ios, security, swift, UI/UX, Figma, agile, healthcare, startup, core data, github, REST, MVVM, mobile development",full_time,"WHO ARE WE? At nooro, we're revolutionizing pain management for seniors. Our platform is transforming how older adults engage with pain management at home. We're on a mission to make wellness more accessible and effective through technology. Check our website here: https://nooro-us.com/ We're a fast-moving startup that works on quick iteration and bold decisions. Our team is lean, agile, and empowered to make meaningful impacts daily. If you enjoy a dynamic environment where ideas become a reality at lightning speed and you're not afraid to wear multiple hats, you'll fit right in. WHAT WILL YOU DO? - Own and drive the development of our iOS application - Build elegant, performant features using **Swift (We’re 100% Swift!)** and **SwiftUI** - Implement complex UI/UX designs from **Figma** with pixel-perfect accuracy - Ensure app performance, quality, and responsiveness - Collaborate with our backend team on API integration - Write clean, modular, and reusable code - Participate in code reviews and architectural decisions - Help shape our mobile development practices HOW TO APPLY? If you believe we're the right fit, please fill in this form: https://forms.gle/xeL6pPbdjMHo11A28 WHAT ARE THE REQUIREMENTS? - 5+ years of professional iOS development experience - Strong expertise in Swift and SwiftUI - Deep understanding of iOS platform capabilities and limitations - Experience with iOS app architecture (MVVM preferred) - Experience with Core Data and local storage solutions - Proficiency in making RESTful API calls and handling responses - Experience with dependency injection on iOS - Strong version control skills with Git/GitHub - Experience with App Store deployment and TestFlight - Knowledge of iOS security best practices APPLYING PROCESS STEP 1 | QUESTIONNAIRE: If you believe we're the right fit, please fill in this form: https://forms.gle/xeL6pPbdjMHo11A28 STEP 2 | TEST: Once we review your form submission, we will send you a test STEP 3 | TECHNICAL INTERVIEW: Once we review your test submission, you will have a call with our development leader STEP 4 | BEHAVIORAL INTERVIEW: After the technical interview, you will have a call with our CEO to talk about the way our company and team members operate in general WHAT DO WE OFFER? - 100% remote work environment - Competitive compensation - Opportunity to make a meaningful impact in healthcare technology - Collaborative, innovative team culture",https://remotive.com/remote-jobs/software-development/ios-developer-1956455
2086540,Inside Sales Contractor,2026-02-08T22:01:13,"Credit Wellness, LLC",https://remotive.com/job/2086540/logo,Sales / Business,Worldwide,OTE $25k - $35k,"CRM, google sheets, financial services, Inside Sales",full_time,"About Us We are a financial services start up focusing on helping to improve consumer credit profiles. We are currently seeking KPI driven sales representatives looking to earn up to 45K in their first year while working remotely. We offer comprehensive training and continuous sales coaching to help you meet your financial goals. During our training period we offer a guaranteed training stipend while our trainees are acclimating to the position (*see weekly pay below). If you are a seasoned sales professional looking for the autonomy of a remote position combined with great compensation, we want to hear from you! Compensation Structure This role is 100% commission-based , which means your earning potential is unlimited. In addition, we regularly offer competitive performance-based bonuses to reward hard work and results. Training Period (Weeks 1–4) We invest in your success and want to make sure you’re supported as you get up to speed: Week 1: Commission-only (a chance to start earning right away while learning the ropes). Weeks 2–4: Guaranteed training stipend of $1,000 total – or your commission if it’s higher. You’ll always receive whichever amount benefits you most. Week 2: $250 guaranteed minimum Week 3: $325 guaranteed minimum Week 4: $425 guaranteed minimum By the end of training, you’ll have the skills to maximize commissions, with the safety net of a guaranteed base during your ramp-up period. Post Training Period: Average first year OTE: 25K-35K (US) Annually Top Rep first year OTE: 35K-45K (US) Annually *The above is the average pay you can expect, however, there is unlimited earning potential for those who are financially motivated top performers looking to exceed sales targets. What will you be doing? Educating inbound callers on their credit standing by providing consultations with the goal of enrolling them in one of our services should they be a good fit. We are looking for team members who are: Tech savvy with the ability to navigate digital tools such as SLACK, CRM software, google sheets, etc. Our team uses these digital tools daily. Growth oriented and always looking to learn and acquire new skills. Autonomous self starters who can work independently and efficiently. Team players with the ability to implement feedback from their sales coaches. Patient and professional with clients. Finances can be a difficult topic for some clients to discuss. We are looking for individuals who showcase empathy and professionalism especially under pressure! Financially motivated individuals who can meet and exceed sales targets. Outgoing with outstanding rapport building and active listening skills. Can you carry a conversation with anyone? This may be for you! You will need: Home office or a quiet place to work. Strong internet connection. Desktop or laptop (*Please Note: Devices such as Chromebooks, IPADs and laptops with 8G’s of RAM and under will have issues supporting our system) Scheduling Training: The schedule for the first two weeks of our training period is 10 AM - 6 PM EST. *The first week of training is mandatory for all new trainees. If a day is missed you may be asked to restart the first week of training. Post Training: We are currently seeking representatives to work on the following schedule: Monday - Friday Shift hours to be discussed with our hiring manager based on our company's needs at the time of hire. Shifts are as follows: 8:00 AM - 4:00 PM EST 8:30 AM - 4:30 PM EST 9:00 AM - 5:00 AM EST 9:30 AM - 5:30 PM EST 10:00 AM - 6:00 PM EST 10:30 AM - 6:30 PM EST 11:00 AM - 7:00 PM EST 11:30 AM - 7:30 PM EST 12:30 PM - 8:30 PM EST 1:30 PM - 9:30 PM EST 2:30 PM - 10:30 PM EST 3:00 PM - 11:00 PM EST Job Type: Contract Shift: 8 hour shift Day shift Evening shift Morning shift Night shift Supplemental Pay: Bonus opportunities Commission pay Experience: Sales: 1 year (Required) Work Location: Remote",https://remotive.com/remote-jobs/sales-business/inside-sales-contractor-2086540
2088624,Senior Python Backend Developer,2026-02-06T22:41:25,SKYCATCHFIRE,https://remotive.com/job/2088624/logo,Software Development,USA,$100k - $150k,"api, backend, django, excel, python, react, AI/ML, automation, CRM, flask, business operations, ETL, next.js, software systems",full_time,"About the job We transform successful businesses by turning their proven processes into powerful software systems. We're looking for developers who take pride in crafting solutions that help these businesses grow. Do you... find satisfaction in designing systems that bring order to complex business operations? take pride in building robust architectures that scale reliably? excel at modeling complex business processes into elegant data structures? enjoy deeply understanding business problems before crafting solutions? Are you... someone who enjoys mastering your tools and continuously improving? detail-oriented with an eye for systematic approaches? comfortable owning projects from start to finish? drawn to building solutions that create order from complexity? Here's what makes our work different We're not just building software – we're creating systems that transform how businesses operate. Our clients trust us to understand their complex processes and turn them into elegant, efficient solutions. Join a team of other self-motivated individuals who excel at their craft. We take pride in the work we do and get excited about solving problems. We only hire self-motivated ""drivers"" and developers with lots of experience. You'll join a team that values Time to think through solutions properly Deep understanding of business processes Consistent, high-quality execution Protected focus time for complex challenges Long-term reliability over quick fixes Your Day-to-Day Design and build robust backends that power business transformation Create sophisticated data models that reflect complex business rules Develop reliable integrations between modern and legacy systems Build powerful APIs that connect disparate business systems Implement secure, scalable solutions for business-critical operations Experience Required Strong Python backend experience with at least one major framework (Django preferred, FastAPI/Flask acceptable) Strong background in Python and API design Reflexive use of all types of AI tools to work faster and smarter Experience building and maintaining large-scale applications Excellence in database design and optimization Understanding of complex data modeling and migrations Clear written communicator that prefers emails to meetings Portfolio showing systematic, well-structured work Bonus Points Experience building AI-powered tools (RAG, LLM, etc.) Experience building ERP/CRM systems React/Next.js familiarity Business process automation experience Data integration and ETL knowledge Mad /giphy skills on Slack (or a desire to learn) The Environment Stable, focused work environment Protected development time Regular, predictable schedule Email > meetings",https://remotive.com/remote-jobs/software-development/senior-python-backend-developer-2088624
2088622,Content Reviewer,2026-02-06T16:14:35,TELUS Digital,https://remotive.com/job/2088622/logo,All others,USA,14$/hour,"android, go, ios, social media, AI/ML, diversity",part_time,"Looking for a freelance opportunity where you can make an impact on technology from the comfort of your home? If you are dynamic, tech-savvy, and always online to learn more, this part-time flexible project is the perfect fit for you! A Day in the Life of a Personalized Internet Assessor: ● In this role, you’ll be analyzing and providing feedback on texts, pages, images, and other types of information for top search engines, using an online tool ● Through reviewing and rating search results for relevance and quality, you’ll be helping to improve the overall user experience for millions of search engine users, including yourself. Join our team today and start putting your skills to work for one of the world's leading search engines. The estimated hourly earnings for this role are 14 USD per hour. Please note only one member per household can work on this program. If at a later stage it is identified that more than one person in your household is working on the TELUS Digital Rating Program, it will result in removal from the program. TELUS Digital AI Community Our global AI Community is a vibrant network of 1 million+ contributors from diverse backgrounds who help our customers collect, enhance, train, translate, and localize content to build better AI models. Become part of our growing community and make an impact supporting the machine learning models of some of the world’s largest brands. Qualification path No previous professional experience is required to apply to this role, however, working on this project will require you to pass the basic requirements and go through a standard assessment process. This is a part-time long-term project and your work will be subject to our standard quality assurance checks during the term of this agreement. Basic Requirements ● Working as a freelancer with excellent communication skills in English ● Being a resident in the United States for the last 3 consecutive years and having familiarity with current and historical business, media, sport, news, social media, and cultural affairs in the US. ● Active use of Gmail and other forms of social media and experience in the use of web browsers to navigate and interact with a variety of content ● Daily access to a broadband internet connection, a smartphone (Android 5.0, iOS 14 or higher), and a personal computer to work on. Assessment In order to be hired into the program, you’ll take a language assessment and an open book qualification exam that will determine your suitability for the position and complete ID verification. Don’t worry, our team will provide you with guidelines and learning materials before your exam. You will be required to complete the exam in a specific timeframe but at your convenience! Equal Opportunity All qualified applicants will receive consideration for a contractual relationship without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status. At TELUS Digital AI, we are proud to offer equal opportunities and are committed to creating a diverse and inclusive community. All aspects of selection are based on applicants’ qualifications, merits, competence, and performance without regard to any characteristic related to diversity",https://remotive.com/remote-jobs/all-others/content-reviewer-2088622
1185979,Freelance Writer,2026-02-04T17:01:32,IAPWE,https://remotive.com/job/1185979/logo,Writing,Worldwide,$50-$75 /hour,REST,freelance,"Our organization is seeking content writers to create articles and blog posts on a variety of topics. The rate of pay is $20 per 100 words (this comes out to approximately $100 per article or $50 per hour). Some topics you may be asked to write about include the following (you can always turn down a topic if you do not feel comfortable writing about it, however if you have experience or expertise in a specific area, please let us know): Health & beauty Fitness Home Decor Fashion Sports Do it yourself Finance Legal Medical Family/Parenting Relationships Real Estate Restaurants Contracting (plumbing, pool building, remodeling, etc.) These are just some of the more general industries and topics that we cover. Requirements : We ask that all work be completed using a word processor such as Microsoft Word or Open Office A reliable internet connection and the ability to meet deadlines Good communication skills and respond in a timely manner to editorial staff when they ask for updates on tasks, etc Work well as a team member with the rest of our content management and editorial staff Note : Applicants to this job signaled that accessing some writing tasks may require payment.",https://remotive.com/remote-jobs/writing/freelance-writer-1185979
2088618,AI Internet Rater,2026-02-04T08:43:19,Welo Data,https://remotive.com/job/2088618/logo,AI / ML,USA,$14.5/hour,"AI/ML, project management, insurance",part_time,"OVERVIEW Welo Data is looking for English speakers to join a remote project as a Search Quality Rater. In this role, you will help improve how search engines understand and deliver useful results to users. What you’ll do: Review search results and evaluate how helpful and relevant they are to the user’s query Answer simple true/false questions about the quality of content Rate whether search results meet the user’s needs using clear guidelines Complete straightforward online tasks that contribute to improving AI systems No specialized technical experience is required - we provide the guidelines and support you need to succeed! Please click here for a short demo of these types of tasks: What Does a Search Quality Rater Do? (youtube.com) Why this work matters: Your feedback helps train and improve AI technology, making search engines smarter and more useful for people around the world. Schedule & Support: Fully remote position Set your own schedule and complete tasks when it’s convenient for you Support is available from the project management team during business hours (Monday–Friday, 9:00 AM – 5:30 PM Pacific) Project Details Job Title: AI Internet Rater/Search Quality Rater Location: Remote, US-based Hours: Minimum 10 hours per week, up to 29 hours per week; set your own schedule Start date: ASAP Employment Type: W2 Part-Time Employee, payment every 2 weeks Longevity of project: 12 months (with possibility of extension). This work is based on project needs. Weekly hours may vary. Benefits Employee Assistance Program Following eligibility requirements Paid Sick Time Medical Insurance Dental Insurance Vision Insurance HSA Voluntary Life Insurance Accident, Critical Illness, Hospital Indemnity Insurance 401(k) Retirement Plan Currently hiring in: Alabama, Florida, Georgia, Indiana, Kansas, Kentucky ,Missouri ,Montana, New Hampshire, North Carolina, Ohio, Oklahoma, Pennsylvania ,South Carolina, Tennessee, Texas, Utah, Virginia, West Virginia, Wisconsin. Applicants must be of at least 18 years of age to apply.",https://remotive.com/remote-jobs/ai-ml/ai-internet-rater-2088618
1749306,Copywriter,2026-02-02T20:00:50,Coalition Technologies ,https://remotive.com/job/1749306/logo,Writing,Worldwide,$20k -$35k,"accounting, excel, research, data analysis, bookkeeping, google sheets, quickbooks, data entry, insurance, G Suite",freelance,"WHO WE'RE LOOKING FOR The ideal copywriter has excellent English writing skills and is excited to write high-quality, SEO-driven content that aligns with detailed, client-specific guidelines. Projects most commonly include writing web pages for eCommerce and lead generation business sites such as category pages, product descriptions, and blog posts. Our clientele is constantly evolving. We produce content for these and many other industry verticals: Fashion (both mass-market and luxury) Skincare & Beauty Tech & Software** Finance & Investing** Law (family law, product liability, divorce, etc.)** Education Home Improvement Automobiles & Motorcycles (OEM and aftermarket accessories) Health and Wellness** Medical / Clinical** Digital Marketing SEO / PR / Advertising / Marketing** **Writers with a background in these highly specialized fields are strongly encouraged to apply. The ideal candidate for this position is a multifaceted technical and creative writer with at least two to four years of professional, non-academic experience. Candidates should understand how to write content that effortlessly blends SEO best practices and brand priorities for finished work that’s engaging, creative, and ROI-driven. Candidates should also be willing and able to complete careful research in order to gain a strong understanding of various industries. Candidates should be prepared to provide portfolios featuring published work. Once an offer has been extended, writers will be asked to take a brief training course. Compensation Writers are paid on a per-word basis. The rate is assessed according to our KPI rubric (key performance indicators) with an automatic raise after 400 and 800 pages have gone live on our client's websites. Initial compensation is up to $0.06 per word with $0.034 per word being the most typical compensation level. This is $30 or $17 per page of 500 words. After 400 pages live, the top marginal rate increases to $0.064 per word with the most typical rate of $0.038 per word, or $32 and $19 per page. After 800 pages live, the top marginal rate increases to $0.07 per word with $0.044 per word being the most typical, or $35 and $22 per page.",https://remotive.com/remote-jobs/writing/copywriter-1749306
2082736,Senior Amazon Brand Manager,2026-01-26T07:45:51,GNO Partners,https://remotive.com/job/2082736/logo,Marketing,Worldwide,$220k-$300k OTE,"amazon, backend, project management, PPC",full_time,"Why Join Us? Fully remote Amazon consulting agency. High-performance culture: hard work, speed, over-delivery, and trust. Competitive Compensation: Total OTE of $220,000-$300,000+. Base Salary: $120,000 Performance-Based Earnings: Realistically getting an extra $180,000 per year based on performance, and more (no cap). Work with a team that lives and breathes Amazon while having fun doing it. Who We’re Looking For: We are seeking a Senior Amazon Brand Manager who deeply understands Amazon FBA, enjoys strategizing for brand growth, and can tackle complex challenges with precision and speed . Key Skills & Experience: Organic Ranking Mastery : Product launches, ranking strategies, and algorithm insights. Amazon PPC Expertise: Strategy + execution, proven hands on experience managing minimum $50K+/mo budgets . Brand Management: Experience managing Private Label brands generating a minimum of $10M in annual revenue Logistics & Backend: Strong grasp of COGs, fees, inventory, and profitability (P&L) optimization . Amazon Catalog Troubleshooter: Proven expertise in diagnosing and resolving complex catalog issues. Responsibilities: Lead weekly strategy calls with clients, ensuring project progress. Solve Amazon challenges and guide clients through key projects. Track progress and provide clear next steps. Offer daily support via Slack & Email. Continuously improve our consulting systems. Attend weekly training and team meetings. Qualifications: Full-time, remote. 3+ years Amazon FBA experience , managing brands $10M+ in revenue minimum. PPC expertise: Managed $50k monthly ad budgets minimum . Seller Central pro: Navigate and optimize quickly. Strong project management & client communication skills. Positive, proactive, and client-focused personality. Fluent in English. Ambitious and driven, with a relentless work ethic to maximize earning potential If you're an Amazon expert, you're driven, strategic, and thrive in high-growth environments, we want you on our team! Please submit your application through Breezy HR: 👉 https://gno-partners.breezy.hr/p/154fdc8fa066-senior-amazon-brand-manager?state=published *For referrals, email us at HR @ gnopartners.com and CC the candidate you’re introducing.",https://remotive.com/remote-jobs/marketing/senior-amazon-brand-manager-2082736
2088612,"Product, Platform & Enterprise Full Stack Sr/Staff Software Engineer",2026-01-24T14:35:10,BNSF Railway,https://remotive.com/job/2088612/logo,Software Development,USA,"$165,000 - $300,000","api, AWS, azure, cloud, fullstack, git, kafka, node.js, react, security, sql, AI/ML, paas, agile, product engineering, automation, CI/CD, spring, NoSQL, distributed systems, angular , STEM, GCP, platform security, spring boot, Micro services, serverless, testing, computer science, infrastructure, grafana, travel, insurance, mental health",full_time,"The range represents the amount bnsf | tech reasonably expects to pay for the position based on the level, scope, and responsibilities of the role.  Individual compensation and level of position offered is determined by the hiring location and additional factors including but not limited to job-related skills, experience, and relevant education or training. In addition to base pay and bonus eligibility, BNSF offers a comprehensive benefits package. This is a full-time remote position. Employees may work from anywhere within the contiguous 48 states of the United States Travel is up to 20%. Employees will be required to occasionally travel to our corporate headquarters in Fort Worth, TX for in person meetings. Travel expenses for business needs will be covered by BNSF This position is open to candidates who are currently authorized to work in the United States. We are also open to sponsoring H-1B transfers, TN nonimmigrant status, and STEM OPT candidates with at least 2 years of remaining eligibility. Apply early as this job may be removed or filled prior to the closing date, which is approximately seven (7) days after the posting date. product engineering: bridge the gap between vision and reality by transforming complex rail logistics and workflows into high-performing products that meet user needs, enhance efficiency and accelerate our business. platform engineering: develop software platforms that enable our product and business teams to be able to develop applications that serve our customers through use of reusable and scalable software services operating with high efficiency . Our platform engineers build software and deliver innovative services that can scale and make other engineering organizations to leverage platforms to enable speed to market. enterprise engineering: empower the workforce with cutting-edge collaboration tools and services. Our enterprise engineers boost productivity, enhance mobility and ensure reliable systems for finance, human resources legal operations and more. Key responsibilities may include: As an engineer in our teams, you will have the opportunity to own and deliver highly visible, innovative projects that directly impact our railroad logistics to effectively serve our customers to move freight on time. You will be involved in driving the technical and architectural vision for a core team that develops software for our core freight movement operations, as well as all the aspects of the software development cycle including scoping, design, implementation, testing & delivery of our product. This is a full-stack engineering role, focused on building and operating platform services such as messaging systems, micro-services, data platforms, serverless runtimes, customer experiences and applying AI/ML to develop scalable and highly reliable solutions. Develop APIs, automation, and tools to improve platform integration. Build and maintain monitoring and alerting systems for services. Collaborate with application teams to enhance reliability and performance. Design and operate scalable systems across data centers, edge devices, and the cloud. Work with BNSF teams to create products that improve rail network operations. Innovate in distributed computing and drive industry transformation. Build solutions for high-speed, large-scale predictions on distributed systems. Solve broad challenges by designing and coding effective solutions in an agile environment. Own architecture for large-scale, complex systems. Make critical technical decisions balancing business needs and engineering trade-offs. Drive cross-team alignment on technical solutions. Establish and maintain coding and design best practices Serve as a subject matter expert in one or more technical domains. Mentor and grow other engineers, including other senior engineers. Anticipate technical risks and design systems to mitigate them. The duties and responsibilities in this posting are representative categories to be used in deciding whether to apply for this position. This is not an exhaustive list of the position’s duties. At BNSF Railway, we encourage individuals from all backgrounds to apply, showcasing their skills, experiences and development. We provide resources and tools to help you reach your full potential, fostering a supportive and inclusive environment. Basic Qualifications Authorized to work in the US Minimum 6 years of software development or related experience 6+ years of programming experience with at least one software programming language Experience with distributed systems and use of technologies such as messaging frameworks (i.e. Kafka and RabbitMQ), API gateways, SQL/NoSQL/Graph databases, caching systems, and serverless platforms Experience with CI/CD pipelines, Git workflows, and DevOps practices Interest in open-source platform and infrastructure technologies Familiarity with observability stacks (e.g., Prometheus, Grafana, OpenTelemetry) Experience with secure coding practices and platform security principles Ability to work in cross-functional teams and communicate with stakeholders Experience participating in design reviews, incident retrospectives, or RFC processes Demonstrated ability to learn new technical concepts and to adapt to new technologies quickly Strong communication and collaboration skills Experience as a mentor, or a tech lead in an engineering team Preferred Qualifications Bachelor’s degree or higher in computer science, or related field Engineering experience with a public PaaS or cloud provider (AWS, Azure or GCP) Experience developing and operating large scale distributed systems  in Production Experience with serverless runtimes and event-driven architectures Familiarity with developer tooling as a builder and/or user Interest in sustainable infrastructure and cost/resource awareness Experience with single-pane-of-glass management platforms or control planes for distributed systems Familiarity with frameworks like React, Angular, Node.js, Spring Boot 5+ years of full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations experience Able to work now and in the future without BNSF’s assistance (whether monetary, through sponsorship, or otherwise) in obtaining, maintaining, or extending employment authorization (including H-1B, STEM OPT/CPT, or TN nonimmigrant status). At BNSF, you will have access to a comprehensive and competitive benefits package including: An industry-leading 401(k) and renowned Railroad Retirement program. A range of robust health care options for you and your dependents (including domestic partners), including medical, dental, vision, telemedicine, mental health, cancer support, and high-quality care network options. Health care spending accounts (HSA) with employer contributions, as well as life and disability insurance, provided at no cost. Family benefits including parental, pediatric and family building support, adoption and surrogacy reimbursement, and dependent care spending account (with employer match). Access to discounts on travel, gym memberships, counseling services and wellness support. Annual bonus (Incentive Compensation Program) Generous leave / time off policies. For more information, visit Benefits . Please be aware of potential fraud that can occur when searching for new career opportunities.  Please review our FAQ for more information and awareness. All positions require pre-employment background verification. BNSF Railway is an Equal Opportunity Employer, all qualified applicants receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.",https://remotive.com/remote-jobs/software-development/product-platform-enterprise-full-stack-sr-staff-software-engineer-2088612
2088611,"Product, Platform & Enterprise Front End Sr/Staff Software Engineer",2026-01-24T14:33:27,BNSF Railway,https://remotive.com/job/2088611/logo,Software Development,USA,$165k - $300k,"api, AWS, azure, cloud, fullstack, git, kafka, node.js, react, security, sql, AI/ML, paas, agile, product engineering, automation, CI/CD, spring, NoSQL, distributed systems, angular , STEM, GCP, platform security, spring boot, Micro services, serverless, testing, computer science, infrastructure, grafana, travel, insurance, mental health",full_time,"The range represents the amount bnsf | tech reasonably expects to pay for the position based on the level, scope, and responsibilities of the role.  Individual compensation and level of position offered is determined by the hiring location and additional factors including but not limited to job-related skills, experience, and relevant education or training. In addition to base pay and bonus eligibility, BNSF offers a comprehensive benefits package. This is a full-time remote position. Employees may work from anywhere within the contiguous 48 states of the United States Travel is up to 20%. Employees will be required to occasionally travel to our corporate headquarters in Fort Worth, TX for in person meetings. Travel expenses for business needs will be covered by BNSF This position is open to candidates who are currently authorized to work in the United States. We are also open to sponsoring H-1B transfers, TN nonimmigrant status, and STEM OPT candidates with at least 2 years of remaining eligibility. Apply early as this job may be removed or filled prior to the closing date, which is approximately seven (7) days after the posting date. product engineering: bridge the gap between vision and reality by transforming complex rail logistics and workflows into high-performing products that meet user needs, enhance efficiency and accelerate our business. platform engineering: develop software platforms that enable our product and business teams to be able to develop applications that serve our customers through use of reusable and scalable software services operating with high efficiency . Our platform engineers build software and deliver innovative services that can scale and make other engineering organizations to leverage platforms to enable speed to market. enterprise engineering: empower the workforce with cutting-edge collaboration tools and services. Our enterprise engineers boost productivity, enhance mobility and ensure reliable systems for finance, human resources legal operations and more. Key responsibilities may include: As a Sr/Staff Software engineer in our teams, you will have the opportunity to learn, develop and deliver high quality software that is highly visible, deliver innovative projects that directly impact our railroad logistics to effectively serve our customers to move freight on time. You will be involved in developing and deploying software for our core freight movement operations that spans across our customer experiences. You will lead the design and development of Software modules built by small group of software engineers and own the end to end delivery of the modules and dependencies. This is a Front End Engineer role, focusing on framework development for web, mobile devices and mobile web browsers, building experiences with mobile cross platform development frameworks like React Native, Angular, Flutter on Web and mobile. Fluency in Typescript, Javascript, knowledge of Graph QL, rendering frameworks and building Fluid UI that can evolve with AI infused experiences are highly desirable. You will partner closely with UX designers, product and other senior engineers. Your technical design choices of correct UX framework implementations will have direct outcome of customer experiences and business results. You will mentor Junior peers who share a passion for front-end work and you will ensure that teams with limited UI experience can succeed in delivering high quality customer experiences and workflows. Write production-quality code for well-defined tasks. Follow team coding standards and processes. Participate in design reviews to learn best practices. Write and maintain unit/integration tests. Debug and fix straightforward issues. Seek feedback proactively and apply it to improve. Develop APIs, automation, and tools to improve platform integration. Build and maintain monitoring and alerting systems for services. Collaborate with application teams to enhance reliability and performance. Design and operate cutting edge front end customer experiences and workflows infused with AI. Work with BNSF teams to create products that improve rail network operations. Innovate in distributed computing and drive industry transformation. Build solutions for high-speed, large-scale predictions on distributed systems. Solve broad challenges by coding effective solutions in an agile environment. Write maintainable and production ready code in web services, web and other front end technologies. The duties and responsibilities in this posting are representative categories to be used in deciding whether to apply for this position. This is not an exhaustive list of the position’s duties. At BNSF Railway, we encourage individuals from all backgrounds to apply, showcasing their skills, experiences and development. We provide resources and tools to help you reach your full potential, fostering a supportive and inclusive environment. Basic Qualifications Authorized to work in the US Minimum 6 years of software development or related experience Experience programming with at least one modern language such as Java, C++, or C# including object-oriented design Experience with developing, testing and deploying  high quality software in production systems Experience (non-internship) with building web application technologies such as Javascript, CSS, AJAX, React Experience in web applications design and development Experience collaborating with product managers, developers, and other stakeholders Demonstrated ability to learn new technical concepts and to adapt to new technologies quickly Strong communication and collaboration skills Preferred Qualifications Bachelor’s degree or higher in computer science, or related field Experience building AI applications and using AI as part of Customer experiences and workflows Experience coding with latest AI developer tools in IDE environments. Engineering experience with a public PaaS or cloud provider (AWS, Azure or GCP) Familiarity with frameworks like React, Angular, Node.js, Spring Boot Developing and delivering highly reliable distributed systems in production environment. Experience participating in design reviews, incident retrospectives, or RFC processes Experience with secure coding practices Experience in building and evolving UX design systems Able to work now and in the future without BNSF’s assistance (whether monetary, through sponsorship, or otherwise) in obtaining, maintaining, or extending employment authorization (including H-1B, STEM OPT/CPT, or TN nonimmigrant status). At BNSF, you will have access to a comprehensive and competitive benefits package including: An industry-leading 401(k) and renowned Railroad Retirement program. A range of robust health care options for you and your dependents (including domestic partners), including medical, dental, vision, telemedicine, mental health, cancer support, and high-quality care network options. Health care spending accounts (HSA) with employer contributions, as well as life and disability insurance, provided at no cost. Family benefits including parental, pediatric and family building support, adoption and surrogacy reimbursement, and dependent care spending account (with employer match). Access to discounts on travel, gym memberships, counseling services and wellness support. Annual bonus (Incentive Compensation Program) Generous leave / time off policies. For more information, visit Benefits . Please be aware of potential fraud that can occur when searching for new career opportunities.  Please review our FAQ for more information and awareness. All positions require pre-employment background verification. BNSF Railway is an Equal Opportunity Employer, all qualified applicants receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.",https://remotive.com/remote-jobs/software-development/product-platform-enterprise-front-end-sr-staff-software-engineer-2088611
